,customer_review,airline,recommended
1,"✅ Trip Verified | London to Izmir via Istanbul. First time I’d flown TK. I found them very good in the air, cabin crew, planes, food, all very nice. Not so great on the ground, ground staff, call centre, computer systems. My flight from LHR was delayed so I missed the connection in Istanbul. Most ground staff don’t speak English, and I was given contradictory instructions from those that could speak a little English. I eventually got on a flight to Izmir three hours later, but it wasn’t an easy process, made worse by the vast distances one has to walk between gates in the cavernous new airport. Also, I’d phoned a TK call centre (based in Ukraine) to pay an extra £40 or so each way for extra leg room seats. However, as the departure times kept changing, my seats kept changing, and for the return leg to London from Istanbul I was not given an extra leg room seat. Luckily there was a spare exit row seat and the cabin crew sorted me out. Overall, I think their cabin crew and planes are very good, ground staff and call centre staff need better training and they all need better computer systems and software to work with.",Turkish Airlines,0
2,"✅ Trip Verified | Istanbul to Bucharest. We make our check in in the airport, they Take our luggage , we go to the gate and at the gate surprise they dont let uș board with two children, because they say the flight is overbooked. We had to wait in the airport with two children until 5 oclock in the morning until they bring uș to a hotel 2 hours far away from the airport without luggage, without eat without nothing. Our first and last flight with this airline.",Turkish Airlines,1
3,"✅ Trip Verified | Rome to Prishtina via Istanbul. I flew with this company several times in the past years, and I can honestly say that it is getting worse and worse. I flew from Rome to Prishtina via Istanbul, all 4 flights had a delay (which apparently is pretty normal with Turkish). The ground staff is for the most part useless. In Istambul i have tried to ask a few information about a flight delay (i had just 30 minutes before the connecting flight) and the whole answer was: ""Relax Sir, No problem Sir, It's okay"". The new airport is a gigantic mess, very big and disorganized. When you land in Istanbul it takes about 20 to 25 minutes taxiing and other 10 minutes before they actually start disembarking, it's an exhausting experience especially if you are in a hurry. Forget about asking for some indication at the new airport, they all chat between each other, some with a coffee in their hands. I flew with four different aircraft on this trip, two were fairly new, the other two were old, seats worn. Food on board was of very poor quality.., let me repeat this, very...poor quality. In general i can say that crew is decently trained and deliver a good experience or at least they try, of course it is far from the experience you get flying Qatar or Emirates but still pretty good, while ground personnel, especially in Istanbul is the personification of the word Lazy. A complete disaster. I will try and avoid Turkish Airlines in the future, it is not a cheap company and definitely not worth for the money you pay. If you are in a hurry or you know you will be avoid this company and avoid the new istanbul airport at all costs.",Turkish Airlines,1
4,"✅ Trip Verified | Flew on Turkish Airlines IAD-IST-KHI and return KHI-IST-IAD. Turkish Airlines has consistently maintained its quality since I first flew with them in 2007. The flights leave on time, the catering is excellent, the inflight entertainment is extensive and the interface easy to use, and the cabin crew is excellent. Interesting though the A330 on the KHI-IST route and return seemed to have more leg room and was newer than the A330 on the IAD-IST route which was showing its age. The A330 on the IAD-IST route had a slow responding interface for the inflight entertainment and a broken table on the return flight. But Turkish Airlines will be replacing the A330 on its flight to IAD with the 787 sometime in the summer. Turkish food was served on the return leg which I personally like, and I saw the cabin staff helping elderly passengers walk to the lavatory which was nice. Overall another wonderful experience with Turkish Airlines.",Turkish Airlines,0
5,"✅ Trip Verified | Mumbai to Dublin via Istanbul. Never book Turkish airlines if you are traveling to Dublin from Mumbai. If the flight gets delay from Mumbai, they don't have any other options for you. They will straight forward ask you to stay in hotel in Istanbul. They do not care for any for your time loss. No decisions has been made from airlines crew within time. They kept me waiting for more than 3 hours.",Turkish Airlines,1
6,"✅ Trip Verified | Istanbul to Budapest via Dublin with Turkish Airlines. Delays on each flight for both legs of the journey - stuck in Istanbul for almost 20 hours with ground staff who were rude, slow or unhelpful and took an hour to get our bags. The only only thing positive I can say is that the food on the plane is good, everything else was disastrous.",Turkish Airlines,1
7,"✅ Trip Verified | Istanbul to Algiers, planned to take off at 9:30 pm and to arrive to Algiers at 11:20 pm same night. We got an announcement that the flight is delayed by 2:55 hours due to technical issue. Then after boarding around midnight, and after starting taxiing, the pilot announced that the issue is still there and we have to go back to the gate! Another delay announced! Furthermore, they did not allow the passengers to get off the plane! complete chaos since the passengers do not want to take this aircraft anymore (and I completely understand) and what worsen the situation is that neither the pilot nor any official came to us and explained what is going on. No explanation, no apology, nothing! they requested the police and we saw armed civilian men at the gate . We did not take off until 6:30 am (that's a total delay of more than 9 hours!) Due to this delay, I lost my full working day in Algiers on April 15 due to the resulting inconvenience and fatigue (I am a consultant and I had several meeting planned for that day). I will never take Turkish Airlines again.",Turkish Airlines,1
8,"✅ Trip Verified | Basel to Cape Town via Istanbul. When I arrived in Istanbul at 10pm we are informed that TK44 to Cape Town (departure at 1.55am) is delayed 4,5 hours. No reason for this Delay was announced. I received a voucher for Burger King, Sbarro Pizza or Popeys. The staff at the gate were very unfriendly.",Turkish Airlines,1
9,"Not Verified | Abu Dhabi to Luxembourg via Istanbul. From AUH-IST, as the flight was at 1:30am, the flight was I comfortable due to the small size of the aircraft. The seats were cramped although the leg room was okay-ish. Service started mid way through and the food was okay but nothing great. Staff was mostly friendly. IST-LUX staff was friendlier, aircraft was bit better, the food was of the same standard though. I think it was a decent experience overall but I would prefer a more spacious air craft even if the flight is 4.5 hours from AUH.",Turkish Airlines,0
10,"✅ Trip Verified | The experience with Turkish Airlines has been devastating one. First paid $200 Euros per luggage, totaling $400 Euros for 2 luggage that end up lost between Turkish Airlines and JetBlue. My itinerary was from Venice to Istanbul to Boston and from there with Jetblue to San Juan, Puerto Rico. Once I made it to Boston I looked for my luggage and it never made it to BOS. I immediately try to make a reclamation to Turkish Airlines at BOS and was told that I had to wait until my final destination. Once I made it to my final destination I made my claim. Turkish Airlines will not cooperate with Jetblue and even if JB was really trying to help is not much they could do because TATurkish Airlines did not care for my luggage. It never made to Boston. Turkish Airlines have been unhelpful. In my case, even presenting evidence to both airlines, neither is able to find my lost claim luggage. It seems the claim is a form which after being submitted it get to be submitted evidence, dead word, as they do not even comply with the search of the lost not delivered luggage in hands of Turkish Airlines.",Turkish Airlines,1
11,"Not Verified | New York to Erbil via Istanbul. They have the worst customer service. My initial leg was delayed due to weather so I was going to miss my connection. Turkish Airlines did nothing to help - in fact finding someone with Turkish Airlines to assist is a feat in itself. TA kept passing the blame. Bottom line - if any segment of your Turkish Airlines flights causes a delay then you are SOL when it comes to TA. Plan on spending a lot more money and flying another airline because Turkish Airlines will not assist you and they will keep your money. The ""customer service"" is a joke - they read from scripts and keep repeating the same paragraph - almost like robots. They also tell you to send an email - it is just a stalling tactic.",Turkish Airlines,1
12,"✅ Trip Verified | Tehran to New York via Istanbul. Terrible experience and terrible customer service! Will never fly again. I tried to change my flight date, called the airline and they made the changes. Told me I would be getting a confirmation email after I hang up (Never received it). I called back, submitted my request again and was told that someone would get back to me in at most 7 days (Never happened again). I called back (this was 3 days to the actual flight date), was told I need to go to a Airline office to make a change!. The closest office to me is 250 miles away. Also, there was a schedule change on the ticket that I did not confirm. When I called, I was told that I would not get charged the penalty, I ended up getting charged+the fare difference (almost 500$). In addition to the trip cost (200$) for a one way trip. So this has never happened before with any other airline. It would have been easier to cancel and buy a new flight which would have cost me around $800 for a two way.",Turkish Airlines,1
13,"✅ Trip Verified | Belgrade to Athens via Istanbul. My first flight departed with delay from Belgrade due to local weather conditions in Istanbul. I requested for a connection assistance in order to catch my second flight but the airline did not provide me such assistance. I managed to arrive at the gate of departure of my second flight while boarding was not completed and while the screen mentioned 'last call' but I was denied boarding because 'the system had unchecked me from the second flight due to late arrival of my previous plane'. People were boarding in front of my eyes on the plane. The Turkish Airlines officer deceivingly told me to go to another gate (215) because another plane was waiting for me. He just got rid of me. Gate 215 was near the rebooking office of Turkish Airlines for the issuance of new tickets. Although I was condemned to stay overnight at the airport, I was not proposed hotel accommodation or a meal. I was put on another flight departing next morning without even offered the possibility to select my checked seat (the officer rejected my request for an aisle position despite the fact that the plane was half-empty!). I filled a complaint form for denial of boarding and they replied that they are not responsible for a flight delay due to weather conditions. Turkish Airlines maybe is a large company but it manages these type of routine problems poorly as a low budget airline.",Turkish Airlines,1
14,"✅ Trip Verified | Dublin to Tel Aviv via İstanbul. First of all our flight was delayed for over an hour, but that’s fine we crossed that bridge, then when we arrived in İstanbul airport we were told that we missed our connection flight. Ridiculous considering the fact the tickets were bought from Turkish Airlines and not from different companies, ok, 10 minutes of talking to customer service and we got new tickets from İstanbul to Tel Aviv (not same comfortable plane as it supposed to be but still something) Arriving in Tel Aviv we found our 3 bags on the belt but so called oversized bag (which was actually a doll birthday box for my daughter) was missing almost 2 hours waiting for it to be found (no luck) then another half an hour of registering with lost&found made us exhausted (myself my husband and 2 kids aged 3 and 5 at 5am in the morning is no fun at all) We supposed to pick up our rental car in between 3-4am and when we came to get it apparently the car was gone to another customer because we were late. We had no choice but get another more expensive car that was available (I think Turkish airlines should be liable for that as well) We registered lost baggage gave the address and phone number in Petah and asked them to deliver it there as we were going to Eilat for a few days. I was pretty much confident that should be no problem with contact details. I was 5 days later arriving back to Tel Aviv and with no contact from lost&found I rang them to see what’s the story and I was shocked when I heard that my baggage was delivered to me the following day! Where? When? To who? The answer was simple we have in our system that you baggage left to Eilat next day and was delivered to the hotel so we are really sorry but you have to get it yourself from there! How come they left my baggage in the hotel without notifying me? Answer was: Delivery company rang you but there was no answer. Left a message? I doubt it I think it’s pure lies) Anyway I said I want my baggage back please get it to me! Oh you know it might take couple of days. Fine I said just get it please! Few days later I rang again because nothing came and find out that delivery man came to the hotel in Eilat asked for me but because me and my spouse have different surnames he was told that there’s no such person registered (but then the question is how could he leave it there if he was told the person is not there) Again I was promised that few days later I will get it. As you can imagine I didn’t. Rang again today asked for the manager (was told the manager is in holiday) got to speak to supervisor and what a surprise she said that the baggage is not in the hotel in Eilat but in airport Eilat and because it’s holiday (Pesah) the airport is closed and they can’t get it. And she said you know it’s your fault that it went to Eilat. When I asked her name she refused to give and hanged up on me.",Turkish Airlines,1
15,"✅ Trip Verified | Houston to Kiev via Istanbul. Fares seem competitive, but there is a catch in terms of layover time. Mine from Houston to Kiev Via Istanbul had a return leg layover of 14 hours and though TK website says that a layover of over a certain hours gets a complimentary hotel stay. But there is a fine print somewhere which they always get a disqualified citing some wired “rules” that I, even as a frequent traveler cannot comprehend. Another notable difference in Turkey is that there are endless and multiple security checks, and one wonders if one is going through a war zone . Lines at security checks and passport control ( yes, if you need to stay at a hotel for a long layover, one needs to get an e-VISA just to get out, check into a hotel and get back to airport to catch the connecting flight). Ended up paying way more than if I had chosen other airlines like LH or SAS, which I will keep in mind next time",Turkish Airlines,1
16,"✅ Trip Verified | Tashkent to Istanbul. A poor experience with Turkish Airlines. The guy who seemed to be the cabin chief was acting in a very extremely rude way towards the passengers, almost yelling at them, mostly hurrying people to sit down quickly. Very unprofessional. The tightest space for seating I experienced, apart from a low cost carrier in Indonesia. A mess with luggage, clearly too many volumes allowed onboard.",Turkish Airlines,1
17,"✅ Trip Verified | Istanbul to Prague. The crew was very polite. Wide seats, good entertainment and I like the safety video. I had a morning flight so they served breakfast. Food was on point and delicious. The only bad remark is that they don't serve cold beverages on their second round of stroll.",Turkish Airlines,0
18,✅ Trip Verified | Nakhchivan to Istanbul. The flight set off a little bit late and boarding was disorderly with too many passengers carrying oversized baggage on board. The aircraft appeared to be old with drop-down screens for entertainment which were virtually useless. Cabin service was not very good and staff appeared not to care.,Turkish Airlines,0
19,✅ Trip Verified | London Heathrow to Istanbul. The flight from LHR took off on time. Boarding was hassle free. Seating was 3x3x3. Legroom was average but I had an emergency exit row seat. Cabin service was average with not many smiles. The flight was smooth as was the landing.,Turkish Airlines,0
20,✅ Trip Verified | Istanbul to Trabzon. Boarding was fast. I thought flight will be on time but no! Taxi took forever. We've waited 40 minutes to take-off. Don't remember if I've heard any explanation from cabin crew. I'd prefer 60 minutes at airport to 40 minutes at a plane seat. Cabin crew was good. Sandwich and drink giveaway was nice. Cheap price.,Turkish Airlines,0
21,"✅ Trip Verified | Izmir to Istanbul. It was my first Boeing 777 experience. They gave a free hot sandwich with cheese and vegetables and a drink. Hot and cold options were rich. Cold ones weren't very cold but you can add some ice to them. Plane was really big and crowded yet there were no problem with fresh air and air conditioning. Well, maybe one. One of the cabins leaked some water to a passenger. They suddenly suggested he change his seat, he refused. Flight on time, good cabin crew. And this time, it was extremely cheap.",Turkish Airlines,0
22,✅ Trip Verified | New Delhi to Cappadocia via Istanbul. I took a flight from New Delhi 6:15pm on 16th April it got delayed by 1.5hours and flew at 7:50pm. I had a connecting flight at 12:20pm on 16th April to Cappadocia from Istanbul but as I reached late due to delay from this airline I missed my flight. They gave me a flight for 11:30 pm without providing any hotel accommodations. Later I had to force them to give me a earlier flight as I was tired so they gave me a flight for 8:35pm TK 2018 which also was delayed and the flight departed at 10:50pm. I some how was happy that at least I reached Cappadocia but my whole day and hotel booking was wasted. I went to pick my luggage but as to my surprise my luggage did not arrive and I was told it’s arriving in the next flight and they shall have it sent to my hotel. I came to my hotel and not it’s about 4pm on 17th April and my luggage has still not arrived even after making several calls. This airline has charged me a lot without giving any good service or facility. I would highly recommend not to book Turkish Airlines ever to any one unless they want to waste their time and money. Don’t know when will my luggage arrive and till when I have to sit in my hotel and waste time as I cannot freshen up unless I get my clothes and got out to see this city.,Turkish Airlines,1
23,"Not Verified | Singapore to Zagreb via Istanbul. Customer service at Istanbul Airport is horrible. I miss my connecting flight upon arriving in Istanbul from Singapore. I have ask the flight attendants onboard regarding my connecting flight. She assure me that I have no problem doing the connection. Upon arrival, there was no staff to assist. My flight was not showing on the display. I end up going to their care point counter. The staff there is the worst. I would give the rating negative 1. They just took their time to figure out your next flight. If I have not insisted that I need to fly on the same day, they just put me on the next day flight. This is the worst terminal service I come across in my 10 years of travel.",Turkish Airlines,1
24,"✅ Trip Verified | Baku to Amsterdam via Istanbul. They still operate like a third world airline. Check in counter staff at the new airport was ignorant (when she finished my check in, she just left the boarding pass and my passport on the counter instead of handing them to me). I changed my seat the previous night when doing the online check in. When boarding the agent said I had the wrong seat and put me back at my old seat. I asked why, and she said they changed plane. She just made that up.",Turkish Airlines,1
25,"Not Verified | New York JFK to Tel Aviv via Istanbul. Do not fly Turkish Airlines! We had round trip scheduled March-April 2019. Just before leaving on our trip they cancelled the second leg of our return flight and placed us on another flight which involved a 14 hour layover in Istanbul airport. Then, upon arrival in Istanbul on our way out to Tel Aviv they cancelled the second leg of this part of the trip as we stood at the gate waiting for departure and put us on another flight several hours later because the later flight was not full. Imagine 300 People at an airline gate waiting as staff filled out new boarding passes for everyone by hand!. We cancelled our return arrangements (without refund) and flew another airline home at the end of our vacation. Rather lose the money then deal with this airline any further!",Turkish Airlines,1
26,"✅ Trip Verified | Kathmandu to Berlin via Istanbul. Their service is worst because they usually overbook the flight and it was like first come first serve basis and airport staff don’t even listen the customer request. They treat people like they are doing favor to them. Flight often delayed by 2- 4 hours and they don’t care about your connecting flight. In my return flight after issuing boarding pass, my seat plan was changed without any notice and in flight entertainment system is damaged and it was 9 hours long flight. I have requested several times but they don’t care and don’t give attention to the passengers request.",Turkish Airlines,1
27,"✅ Trip Verified | Montreal to Bucharest via Istanbul. Delicious food, great choice of beverages. Cabin crew kind and careful. I would choose Turkish again and can recommend them.",Turkish Airlines,0
28,"✅ Trip Verified | Guangzhou to Barcelona via Istanbul. I wonder if customer service really exists for this airline. My luggage has been gone missing already two days and there has been no update for the last 24 hours already! I called the customer service almost ten times in the last 2 days and it is never answered. In their online luggage tracing system, they don't even update what they did or how long I need to wait. I doubt that I would ever book Turkish Airline again. As a frequent flier of the long-haul flights, I have never experienced lost luggage. I know that it is not uncommon that luggage can be delayed or missing. But what is lacking is their customer service.",Turkish Airlines,1
